session,title,keys,file_path,file_type
BM26 SC5736,PEG_PLA_R21_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R21_pristine\SAXS\PEG_PLA_R21_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R21_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R21_pristine\WAXS\PEG_PLA_R21_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R21_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R21_second_heating\SAXS\PEG_PLA_R21_second_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R21_second_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R21_second_heating\WAXS\PEG_PLA_R21_second_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R22_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R22_pristine\SAXS\PEG_PLA_R22_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R22_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R22_pristine\WAXS\PEG_PLA_R22_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_after_cooling_RT\SAXS\PEG_PLA_R3_after_cooling_RT_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_after_cooling_RT\WAXS\PEG_PLA_R3_after_cooling_RT_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_cooling\SAXS\PEG_PLA_R3_cooling_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_cooling\WAXS\PEG_PLA_R3_cooling_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_heating\SAXS\PEG_PLA_R3_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_heating\WAXS\PEG_PLA_R3_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_pristine\SAXS\PEG_PLA_R3_pristine_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R3_pristine,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R3_pristine\WAXS\PEG_PLA_R3_pristine_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_after_cooling_RT\SAXS\PEG_PLA_R8_after_cooling_RT_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_after_cooling_RT\WAXS\PEG_PLA_R8_after_cooling_RT_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_after_cooling_RT\SAXS\PEG_PLA_R8_bis_after_cooling_RT_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_after_cooling_RT,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_after_cooling_RT\WAXS\PEG_PLA_R8_bis_after_cooling_RT_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_cooling\SAXS\PEG_PLA_R8_bis_cooling_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_cooling\WAXS\PEG_PLA_R8_bis_cooling_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_heating\SAXS\PEG_PLA_R8_bis_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_heating\WAXS\PEG_PLA_R8_bis_heating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_secondheating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_secondheating\SAXS\PEG_PLA_R8_bis_secondheating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_bis_secondheating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_bis_secondheating\WAXS\PEG_PLA_R8_bis_secondheating_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_cooling\SAXS\PEG_PLA_R8_cooling_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_cooling,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_cooling\WAXS\PEG_PLA_R8_cooling_WAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_heating\SAXS\PEG_PLA_R8_heating_SAXS_0000.edf,edf/dat
BM26 SC5736,PEG_PLA_R8_heating,,\\Synology\Data\2024\BM26 SC5736\PEG_PLA_R8_heating\WAXS\PEG_PLA_R8_heating_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R11_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R11_heating_180\SAXS\011824_R11_heating_180_SAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R11_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R11_heating_180\WAXS\011824_R11_heating_180_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R18_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R18_heating_180\SAXS\011824_R18_heating_180_SAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R18_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R18_heating_180\WAXS\011824_R18_heating_180_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R2,,\\Synology\Data\2024\BM26_Feb2024\011824_R2\SAXS\011824_R2_SAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R2,,\\Synology\Data\2024\BM26_Feb2024\011824_R2\WAXS\011824_R2_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R27_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R27_heating_180\SAXS\011824_R27_heating_180_SAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R27_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R27_heating_180\WAXS\011824_R27_heating_180_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R2_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R2_heating_180\SAXS\011824_R2_heating_180_SAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R2_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R2_heating_180\WAXS\011824_R2_heating_180_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R5_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R5_heating_180\SAXS\011824_R5_heating_180_SAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R5_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R5_heating_180\WAXS\011824_R5_heating_180_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R7_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R7_heating_180\SAXS\011824_R7_heating_180_SAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R7_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R7_heating_180\WAXS\011824_R7_heating_180_WAXS_0000.edf,edf/dat
BM26_Feb2024,011824_R8_heating_180,,\\Synology\Data\2024\BM26_Feb2024\011824_R8_heating_180\SAXS\011824_R8_heating_180_SAXS_0000.edf,edf/dat
