session,title,keys,file_path
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_24mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|24mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_24mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_24mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_26mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|26mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_26mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_26mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_28mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|28mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_28mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_28mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_30mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|30mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_30mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_30mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_32mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|32mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_32mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_32mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_34mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|34mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_34mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_34mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_36mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|36mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_36mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_36mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_38mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|38mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_38mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_38mm_WAXS_0000.edf
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Base_40mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Base|40mm,
IHSC_1872,PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Undefromed_20mm,PDMS|g|P3HT|15perc|CHCl3|stretch|bis|Undefromed|20mm,E:\sessions\IHSC_1872\PDMS_g_P3HT_15perc_CHCl3_stretch_bis\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Undefromed_20mm\WAXS\PDMS_g_P3HT_15perc_CHCl3_stretch_bis_Undefromed_20mm_WAXS_0000.edf
